mapa,monster_id,amount,eh_re
ama_fild01,1060,14,True
ama_fild01,1400,72,True
ama_fild01,1406,57,True
ama_fild01,1404,2,True
ama_fild01,1402,1,True
ama_fild01,1068,14,True
ayo_fild01,1056,40,True
ayo_fild01,1104,40,True
ayo_fild01,1057,40,True
ayo_fild01,1080,10,True
ayo_fild02,1057,82,True
ayo_fild02,1586,63,True
ayo_fild02,1587,9,True
ayo_fild02,1081,10,True
ba_lost,20649,50,True
ba_lost,20650,50,True
ba_lost,20651,50,True
ba_lost,20652,50,True
ba_lost,20653,30,True
ba_maison,20630,15,True
ba_maison,20640,5,True
ba_maison,20679,15,True
ba_maison,20683,2,True
ba_maison,20684,1,True
bif_fild01,1994,29,True
bif_fild01,1992,17,True
bif_fild01,2137,58,True
bif_fild01,2136,34,True
bif_fild01,2133,5,True
bif_fild01,2132,5,True
bif_fild02,1994,27,True
bif_fild02,1992,16,True
bif_fild02,2137,33,True
bif_fild02,2136,55,True
bif_fild02,2133,5,True
bif_fild02,2132,5,True
cmd_fild01,1687,202,True
cmd_fild01,1118,67,True
cmd_fild01,1083,1,True
cmd_fild01,1079,6,True
cmd_fild01,1080,5,True
cmd_fild02,1317,162,True
cmd_fild02,1391,40,True
cmd_fild02,1074,27,True
cmd_fild02,1073,27,True
cmd_fild02,1266,13,True
cmd_fild02,1313,1,True
cmd_fild03,1271,194,True
cmd_fild03,1118,64,True
cmd_fild03,1262,5,True
cmd_fild03,1089,1,True
cmd_fild03,1083,3,True
cmd_fild04,1323,149,True
cmd_fild04,1391,37,True
cmd_fild04,1074,24,True
cmd_fild04,1073,24,True
cmd_fild04,1266,12,True
cmd_fild06,1040,165,True
cmd_fild06,1058,55,True
cmd_fild06,1081,5,True
cmd_fild07,1254,116,True
cmd_fild07,1266,34,True
cmd_fild07,1074,34,True
cmd_fild07,1073,34,True
cmd_fild08,1105,62,True
cmd_fild08,1160,62,True
cmd_fild08,1095,62,True
cmd_fild08,1097,37,True
cmd_fild08,1040,2,True
cmd_fild08,1081,8,True
cmd_fild09,1058,155,True
cmd_fild09,1105,16,True
cmd_fild09,1160,16,True
cmd_fild09,1095,16,True
cmd_fild09,1097,10,True
dew_fild01,2151,100,True
dew_fild01,1099,75,True
dew_fild01,2153,16,True
dic_fild01,1987,60,True
dic_fild01,1999,30,True
dic_fild01,1986,25,True
dic_fild01,2092,20,True
dic_fild02,2024,3,True
dic_fild02,1987,38,True
dic_fild02,1999,10,True
dic_fild02,1986,27,True
dic_fild02,2092,87,True
ecl_fild01,2363,73,True
ecl_fild01,2364,73,True
ein_fild03,1622,100,True
ein_fild03,1621,20,True
ein_fild03,1620,20,True
ein_fild03,1616,20,True
ein_fild03,1081,15,True
ein_fild03,1080,15,True
ein_fild04,1621,124,True
ein_fild04,1620,37,True
ein_fild04,1622,24,True
ein_fild04,1378,18,True
ein_fild04,1616,12,True
ein_fild04,1078,10,True
ein_fild04,1081,10,True
ein_fild04,1080,10,True
ein_fild05,1620,100,True
ein_fild05,1621,30,True
ein_fild05,1622,20,True
ein_fild05,1378,15,True
ein_fild05,1616,10,True
ein_fild06,1628,100,True
ein_fild06,1613,30,True
ein_fild06,1078,10,True
ein_fild06,1081,10,True
ein_fild07,1613,109,True
ein_fild07,1619,36,True
ein_fild07,1628,12,True
ein_fild07,1618,1,True
ein_fild07,1078,10,True
ein_fild07,1081,10,True
ein_fild07,1085,12,True
ein_fild08,1613,139,True
ein_fild08,1619,41,True
ein_fild08,1078,10,True
ein_fild08,1081,10,True
ein_fild08,1085,13,True
