mapa_origem,x_origem,y_origem,mapa_destino,x_destino,y_destino,arquivo
alberta,15,234,pay_fild03,388,63,alberta.txt
alberta,117,38,alberta_in,180,30,alberta.txt
alberta,170,170,alb_ship,26,168,alberta.txt
alberta,178,165,alb_ship,39,163,alberta.txt
alberta,209,173,alb_ship,162,171,alberta.txt
alberta,33,42,alberta_in,74,44,alberta.txt
alberta,65,233,alberta_in,18,141,alberta.txt
alberta,93,205,alberta_in,114,134,alberta.txt
alberta,98,153,alberta_in,185,89,alberta.txt
alberta,99,221,alberta_in,122,161,alberta.txt
alb_ship,26,166,alberta,170,168,alberta.txt
alb_ship,41,163,alberta,180,165,alberta.txt
alb_ship,160,171,alberta,207,173,alberta.txt
alb_ship,37,174,alb_ship,70,99,alberta.txt
alb_ship,68,99,alb_ship,35,173,alberta.txt
alberta_in,189,89,alberta,102,153,alberta.txt
alberta_in,114,130,alberta,93,201,alberta.txt
alberta_in,14,141,alberta,61,233,alberta.txt
alberta_in,180,34,alberta,117,42,alberta.txt
alberta_in,78,44,alberta,37,41,alberta.txt
alberta_in,125,161,alberta,102,222,alberta.txt
alberta_in,114,183,alberta_in,148,186,alberta.txt
alberta_in,152,186,alberta_in,118,183,alberta.txt
alberta_in,114,49,alberta_in,155,153,alberta.txt
alberta_in,159,153,alberta_in,117,49,alberta.txt
alberta_in,114,97,alberta_in,155,175,alberta.txt
alberta_in,159,175,alberta_in,117,97,alberta.txt
alberta_in,22,113,alberta_in,22,134,alberta.txt
alberta_in,22,130,alberta_in,22,109,alberta.txt
alberta_in,22,153,alberta_in,22,174,alberta.txt
alberta_in,22,170,alberta_in,22,149,alberta.txt
alberta_in,24,33,alberta_in,64,35,alberta.txt
alberta_in,64,31,alberta_in,24,29,alberta.txt
alberta_in,24,54,alberta_in,64,53,alberta.txt
alberta_in,64,57,alberta_in,24,58,alberta.txt
alberta_in,66,113,alberta_in,66,132,alberta.txt
alberta_in,66,130,alberta_in,66,111,alberta.txt
